iter	Passed	Remaining
856	3469	578
857	3472	574
858	3475	570
859	3478	566
860	3482	562
861	3486	558
862	3488	553
863	3491	549
864	3496	545
865	3499	541
866	3501	537
867	3505	533
868	3507	528
869	3511	524
870	3514	520
871	3516	516
872	3519	512
873	3522	507
874	3525	503
875	3529	499
876	3532	495
877	3534	491
878	3537	486
879	3540	482
880	3544	478
881	3547	474
882	3549	470
883	3552	466
884	3556	462
885	3560	458
886	3563	454
887	3566	449
888	3569	445
889	3572	441
890	3576	437
891	3579	433
892	3582	429
893	3586	425
894	3588	421
895	3592	416
896	3595	412
897	3598	408
898	3601	404
899	3603	400
900	3607	396
901	3610	392
902	3613	388
903	3615	383
904	3619	379
905	3622	375
906	3625	371
907	3628	367
908	3631	363
909	3634	359
910	3638	355
911	3641	351
912	3644	347
913	3648	343
914	3651	339
915	3656	335
916	3659	331
917	3662	327
918	3666	323
919	3671	319
920	3676	315
921	3680	311
922	3682	307
923	3688	303
924	3691	299
925	3696	295
926	3698	291
927	3704	287
928	3707	283
929	3711	279
930	3714	275
931	3718	271
932	3722	267
933	3725	263
934	3728	259
935	3734	255
936	3737	251
937	3741	247
938	3744	243
939	3748	239
940	3752	235
941	3755	231
942	3758	227
943	3762	223
944	3766	219
945	3770	215
946	3773	211
947	3776	207
948	3781	203
949	3785	199
950	3788	195
951	3791	191
952	3794	187
953	3798	183
954	3801	179
955	3805	175
956	3809	171
957	3814	167
958	3817	163
959	3821	159
960	3824	155
961	3828	151
962	3831	147
963	3835	143
964	3838	139
965	3841	135
966	3845	131
967	3848	127
968	3851	123
969	3855	119
970	3859	115
971	3862	111
972	3866	107
973	3869	103
974	3872	99
975	3876	95
976	3880	91
977	3884	87
978	3887	83
979	3891	79
980	3895	75
981	3899	71
982	3902	67
983	3906	63
984	3909	59
985	3913	55
986	3916	51
987	3919	47
988	3924	43
989	3927	39
990	3931	35
991	3934	31
992	3939	27
993	3942	23
994	3945	19
995	3948	15
996	3953	11
997	3956	7
998	3959	3
999	3963	0
